category,description,date,title
CINEMA,La jeune réalisatrice chinoise Xinyuan Zheng Lu signe un premier long-métrage entre spleen et désir.,2021-12-22 09:00:03 +0100,« The Cloud in Her Room » : scènes de la vie décomposée
CINEMA,"D’une drôlerie explosive, le nouveau film du réalisateur, distribué par Netflix, dresse la satire du système politico-médiatique américain en une machine devenue folle.",2021-12-22 10:00:15 +0100,« Don’t Look Up. Déni cosmique » : la comète McKay lancée contre la bouffonnerie de l’humanité
CINEMA,"Aucune nouvelle date n’a été fixée pour les Governors Awards à ce stade. Pour l’instant, l’édition 2022 des Oscars n’est, quant à elle, pas remise en cause et est toujours prévue le 27 mars.",2021-12-22 22:43:21 +0100,"Aux Etats-Unis, la cérémonie des Oscars d’honneur repoussée à cause du variant Omicron"
CINEMA,Des anciennes élèves de l’école que l’acteur américain avait développée à Hollywood avaient dénoncé des comportements inappropriés en 2018.,2021-12-23 22:25:04 +0100,"Accusé de comportement inapproprié par des femmes, l’acteur américain James Franco reconnaît des relations sexuelles"
CINEMA,"Sur fond de maccarthysme, Aaron Sorkin revient sur la genèse de « I Love Lucy », la première série télévisée à avoir fédéré le public américain dans les années 1950. Un film brillant, avec Nicole Kidman et Javier Bardem, à voir sur Prime Video.",2021-12-24 18:30:06 +0100,VoD : « Being the Ricardos » plonge dans les rouages d’une sitcom
CINEMA,"Depuis sa révélation, en 2003, dans « Good Bye, Lenin ! », l’acteur s’est bâti une filmographie aussi riche qu’internationale. Pour sa première réalisation, l’Allemand tient le rôle principal dans une comédie qui lui permet de se moquer de ses propres travers.",2021-12-26 07:00:06 +0100,"Pour « Next Door », Daniel Brühl devant et derrière la caméra"
CINEMA,"Le cinéaste canadien était très apprécié du cinéma pour son approche naturaliste, « transformant des histoires vraies en fictions à succès », décrit « The New York Times ».",2021-12-27 10:42:43 +0100,"Jean-Marc Vallée, le réalisateur de la série « Big Little Lies » et du film « Dallas Buyers Club » est mort"
CINEMA,On doit notamment au cinéaste les longs-métrages « C.R.A.Z.Y. » et « Dallas Buyers Club » ainsi que la série « Big Little Lies ».,2021-12-27 18:27:21 +0100,Le réalisateur québécois Jean-Marc Vallée est mort
CINEMA,"L’héroïne de la saga « Millenium », devenue une « action girl » hollywoodienne, est de retour au naturel, dans un conte fantastique islandais.",2021-12-28 00:36:30 +0100,L’actrice Noomi Rapace retrouve dans le film « Lamb » la liberté des limbes
CINEMA,"Chaque mercredi, les journalistes du service Culture du « Monde » livrent leurs critiques des sorties de la semaine.",2021-12-29 01:02:08 +0100,"« The Card Counter », « Tromperie », « Goodbye Mister Wong »… Les films à voir au cinéma"
