category,description,date,title
POLITIQUE,"L’équipe de campagne du candidat à la présidentielle lui a fait comprendre qu’il valait mieux désormais éviter les propos misogynes, qui lui coûtent dans les sondages.",2021-12-30 12:00:13 +0100,"Eric Zemmour, du mépris des femmes à la hantise de l’immigration"
POLITIQUE,"Le ministre de l’économie, piqué de littérature, ne cache pas sa fierté d’avoir inspiré cet écrivain qui le campe en présidentiable sincère et surdoué dans son dernier roman, « Anéantir ».",2021-12-30 12:06:27 +0100,"Grâce à Michel Houellebecq, l’autre rentrée de Bruno Le Maire"
POLITIQUE,"La République en marche avait déjà annoncé son intention d’appliquer des jauges lors de ses meetings électoraux, tandis que le Rassemblement national, La France insoumise et l’équipe d’Eric Zemmour y sont opposés.",2021-12-30 20:08:58 +0100,Présidentielle 2022 : Valérie Pécresse veut appliquer les jauges et le passe sanitaire dans ses meetings
POLITIQUE,"Un projet de réforme, qui concerne deux corps au cœur des rouages des affaires étrangères, sème la consternation. Les plus expérimentés s’inquiètent de son impact, à l’heure où les crises internationales se multiplient.",2021-12-31 02:49:03 +0100,La colère froide des diplomates contre l’Elysée
POLITIQUE,"Le chroniqueur identitaire, soutien d’Eric Zemmour, avait été poussé dehors par le Rassemblement national. Il avait facturé des prestations et des notes plagiées à la campagne des européennes pour 16 200 euros, montant non remboursé par l’Etat.",2021-12-31 03:07:38 +0100,Jean Messiha rattrapé par des affaires de plagiat
POLITIQUE,"Si certains élus dénoncent un deux poids deux mesures avec la métropole, la plupart des Martiniquais accueillent sans colère la prolongation de l’état d’urgence jusqu’au 31 mars et le couvre-feu à 20 heures, le soir de la Saint-Sylvestre, pour faire face à l’épidémie de Covid-19 qui sévit sur l’île, déjà lourdement endeuillée.",2021-12-31 09:26:08 +0100,La Martinique résignée après la prolongation de l’état d’urgence sanitaire
POLITIQUE,"Plusieurs candidats au prochain scrutin national ont devancé Emmanuel Macron – qui n’est toujours pas officiellement candidat – en présentant dès la fin de la matinée, vendredi 31 décembre, leurs vœux pour 2022.",2021-12-31 14:14:26 +0100,"« Année cruciale », « adieu Macron » : les candidats à l’élection présidentielle devancent le chef de l’Etat pour les vœux"
POLITIQUE,"Le candidat du PCF à l’élection présidentielle a dit souhaiter vérifier le passe sanitaire du public de ses réunions publiques, ce que le chef de file des « insoumis » a déjà écarté.",2021-12-31 17:27:33 +0100,Fabien Roussel et Jean-Luc Mélenchon fourniront des masques FFP2 à l’entrée de leurs meetings
POLITIQUE,"L’ancien premier ministre socialiste critique la « complaisance à l’égard du communautarisme, qui gangrène certaines mouvances », dans un long entretien au média « Le Droit de vivre » publié jeudi 30 décembre.",2021-12-31 18:10:01 +0100,Bernard Cazeneuve estime qu’« une grande partie de la gauche s’est égarée » dans le « communautarisme »
POLITIQUE,"Le chef de l’Etat a, vendredi à 20 heures, dressé la liste des défis du pays pour 2022, tout en se projetant sur les prochaines échéances électorales.",2021-12-31 20:14:56 +0100,"Emmanuel Macron a présenté les derniers vœux de son quinquennat avant 2022, « peut-être l’année de sortie de l’épidémie »"
